iteration,best_solution,average_solution
574,3200,3221.72
575,3200,3221.72
576,3200,3221.72
577,3200,3221.72
578,3200,3221.72
579,3200,3221.72
580,3200,3221.72
581,3200,3212.3
582,3200,3222.22
583,3200,3222.22
584,3200,3222.22
585,3200,3222.22
586,3200,3222.22
587,3200,3222.22
588,3200,3221.7
589,3200,3221.7
590,3200,3221.7
591,3200,3221.7
592,3200,3211.78
593,3200,3207.68
594,3200,3205.92
595,3200,3211.94
596,3200,3211.94
597,3200,3211.94
598,3200,3211.94
599,3200,3211.94
600,3200,3211.94
601,3200,3211.94
602,3200,3206.02
603,3200,3206.02
604,3200,3200.0
605,3200,3200.0
606,3200,3200.0
607,3200,3202.44
608,3200,3212.16
609,3200,3212.16
610,3200,3212.16
611,3200,3212.16
612,3200,3202.44
613,3200,3202.44
614,3200,3202.44
615,3200,3200.0
616,3200,3200.0
617,3200,3200.0
618,3200,3200.0
619,3200,3200.0
620,3200,3200.0
621,3200,3200.0
622,3200,3200.0
623,3200,3200.0
624,3200,3200.0
625,3200,3200.0
626,3200,3200.0
627,3200,3200.0
628,3200,3200.0
629,3200,3200.0
630,3200,3200.0
631,3200,3200.0
632,3200,3200.0
633,3200,3200.0
634,3200,3200.0
635,3200,3200.0
636,3200,3200.0
637,3200,3200.0
638,3200,3200.0
639,3200,3202.34
640,3200,3202.34
641,3200,3202.34
642,3200,3202.34
643,3200,3200.0
644,3200,3200.0
645,3200,3200.0
646,3200,3200.64
647,3200,3200.64
648,3200,3200.64
649,3200,3200.64
650,3200,3200.64
651,3200,3200.64
652,3200,3200.64
653,3200,3200.64
654,3200,3200.64
655,3200,3200.64
656,3200,3200.64
657,3200,3200.64
658,3200,3200.64
659,3200,3200.64
660,3200,3200.64
661,3200,3202.72
662,3200,3202.72
663,3200,3202.72
664,3200,3202.72
665,3200,3202.72
666,3200,3202.72
667,3200,3202.72
668,3200,3209.72
669,3200,3209.72
670,3200,3209.72
671,3200,3209.72
672,3200,3209.72
673,3200,3209.72
674,3200,3212.74
675,3200,3212.74
676,3200,3212.74
677,3200,3212.1
678,3200,3212.1
679,3200,3212.1
680,3200,3212.1
681,3200,3216.32
682,3200,3216.32
683,3200,3214.24
684,3200,3214.24
685,3200,3214.24
686,3200,3214.24
687,3200,3210.02
688,3200,3210.02
689,3200,3210.02
690,3200,3210.02
691,3200,3210.02
692,3200,3210.02
693,3200,3210.02
694,3200,3210.02
695,3200,3210.02
696,3200,3210.02
697,3200,3210.02
698,3200,3210.02
699,3200,3210.02
700,3200,3207.0
701,3200,3212.26
702,3200,3215.2
703,3200,3215.2
704,3200,3215.2
705,3200,3215.2
706,3200,3215.2
707,3200,3210.58
708,3200,3210.58
709,3200,3210.58
710,3200,3210.58
711,3200,3210.58
712,3200,3210.58
713,3200,3210.58
714,3200,3220.44
715,3200,3220.44
716,3200,3220.44
717,3200,3220.44
718,3200,3213.44
719,3200,3213.44
720,3200,3213.44
721,3200,3213.44
722,3200,3213.44
723,3200,3213.44
724,3200,3213.8
725,3200,3213.8
726,3200,3213.8
727,3200,3213.8
728,3200,3213.8
729,3200,3213.8
730,3200,3213.8
731,3200,3213.8
732,3200,3216.18
733,3200,3216.18
734,3200,3216.18
735,3200,3216.18
736,3200,3216.18
737,3200,3213.24
738,3200,3203.38
739,3200,3207.04
740,3200,3207.04
741,3200,3207.04
742,3200,3207.04
743,3200,3207.04
744,3200,3207.04
745,3200,3207.04
746,3200,3207.04
747,3200,3207.04
748,3200,3207.04
749,3200,3207.04
750,3200,3207.04
751,3200,3213.24
752,3200,3213.24
753,3200,3213.24
754,3200,3213.24
755,3200,3213.24
756,3200,3209.58
757,3200,3209.58
758,3200,3209.58
759,3200,3209.58
760,3200,3209.58
761,3200,3203.38
762,3200,3203.38
763,3200,3203.38
764,3200,3203.38
765,3200,3203.38
766,3200,3203.38
767,3200,3203.38
768,3200,3205.98
769,3200,3205.98
770,3200,3205.98
771,3200,3205.98
772,3200,3205.98
773,3200,3205.98
774,3200,3205.34
775,3200,3210.66
776,3200,3217.34
777,3200,3217.34
778,3200,3212.02
779,3200,3212.02
780,3200,3212.02
781,3200,3212.02
782,3200,3212.02
783,3200,3212.02
784,3200,3220.92
785,3200,3220.92
786,3200,3220.92
787,3200,3220.92
788,3200,3220.92
789,3200,3220.92
790,3200,3220.92
791,3200,3214.24
792,3200,3217.8
793,3200,3217.8
794,3200,3217.8
795,3200,3217.44
796,3200,3217.44
797,3200,3217.44
798,3200,3217.44
799,3200,3217.44
800,3200,3217.44
801,3200,3217.44
802,3200,3217.44
803,3200,3217.44
804,3200,3217.44
805,3200,3217.44
806,3200,3217.44
807,3200,3217.44
808,3200,3217.44
809,3200,3217.44
810,3200,3217.44
811,3200,3217.44
812,3200,3217.44
813,3200,3217.44
814,3200,3217.44
815,3200,3217.44
816,3200,3217.44
817,3200,3217.44
818,3200,3222.92
819,3200,3222.92
820,3200,3222.92
821,3200,3222.92
822,3200,3222.92
823,3200,3222.92
824,3200,3222.92
825,3200,3222.92
826,3200,3222.92
827,3200,3222.92
828,3200,3222.92
829,3200,3222.92
830,3200,3222.92
831,3200,3225.62
832,3200,3225.62
833,3200,3225.62
834,3200,3225.62
835,3200,3227.56
836,3200,3227.56
837,3200,3227.56
838,3200,3227.56
839,3200,3227.56
840,3200,3227.56
841,3200,3227.56
842,3200,3227.56
843,3200,3227.56
844,3200,3225.18
845,3200,3225.18
846,3200,3219.7
847,3200,3219.7
848,3200,3219.7
849,3200,3219.7
850,3200,3219.7
851,3200,3210.8
852,3200,3210.8
853,3200,3210.8
854,3200,3214.28
855,3200,3214.28
856,3200,3214.28
857,3200,3214.28
858,3200,3214.28
859,3200,3214.28
860,3200,3214.28
861,3200,3214.28
862,3200,3216.32
863,3200,3216.32
864,3200,3216.32
865,3200,3216.32
866,3200,3216.32
867,3200,3216.32
868,3200,3216.32
869,3200,3216.32
870,3200,3216.32
871,3200,3216.32
872,3200,3221.18
873,3200,3221.3
874,3200,3221.3
875,3200,3221.3
876,3200,3221.3
