,Generation,Best Solution,m,n,k,Iteration
2,1000,33783,5,3,50,3
1,10000,26707,5,3,50,3
0,20000,25046,5,3,50,3
2,1000,29753,5,5,10,3
1,10000,22948,5,5,10,3
0,20000,22224,5,5,10,3
2,1000,30833,5,5,20,3
1,10000,27526,5,5,20,3
0,20000,23891,5,5,20,3
2,1000,31254,5,5,50,3
1,10000,27781,5,5,50,3
0,20000,27257,5,5,50,3
2,1000,28569,5,8,10,3
1,10000,23579,5,8,10,3
0,20000,23215,5,8,10,3
2,1000,29640,5,8,20,3
1,10000,23463,5,8,20,3
0,20000,22918,5,8,20,3
2,1000,29182,5,8,50,3
1,10000,27673,5,8,50,3
0,20000,26214,5,8,50,3
2,1000,28284,2,3,10,4
1,10000,26087,2,3,10,4
0,20000,23393,2,3,10,4
2,1000,30569,2,3,20,4
1,10000,28470,2,3,20,4
0,20000,27155,2,3,20,4
2,1000,41178,2,3,50,4
1,10000,35835,2,3,50,4
0,20000,35091,2,3,50,4
2,1000,29711,2,5,10,4
1,10000,26045,2,5,10,4
0,20000,25589,2,5,10,4
2,1000,29908,2,5,20,4
1,10000,26537,2,5,20,4
0,20000,24524,2,5,20,4
2,1000,29635,2,5,50,4
1,10000,28315,2,5,50,4
0,20000,27430,2,5,50,4
2,1000,28167,2,8,10,4
1,10000,23557,2,8,10,4
0,20000,23071,2,8,10,4
2,1000,26055,2,8,20,4
1,10000,25659,2,8,20,4
0,20000,24614,2,8,20,4
2,1000,26515,2,8,50,4
1,10000,25070,2,8,50,4
0,20000,24804,2,8,50,4
2,1000,29425,3,3,10,4
1,10000,26743,3,3,10,4
0,20000,25594,3,3,10,4
2,1000,26154,3,3,20,4
1,10000,25367,3,3,20,4
0,20000,24855,3,3,20,4
2,1000,27817,3,3,50,4
1,10000,25624,3,3,50,4
0,20000,24603,3,3,50,4
2,1000,29869,3,5,10,4
1,10000,25139,3,5,10,4
0,20000,23095,3,5,10,4
2,1000,26285,3,5,20,4
1,10000,23735,3,5,20,4
0,20000,23153,3,5,20,4
2,1000,27397,3,5,50,4
1,10000,26139,3,5,50,4
0,20000,25537,3,5,50,4
2,1000,34589,3,8,10,4
1,10000,25030,3,8,10,4
0,20000,23705,3,8,10,4
2,1000,27399,3,8,20,4
1,10000,25176,3,8,20,4
0,20000,23948,3,8,20,4
2,1000,29855,3,8,50,4
1,10000,28147,3,8,50,4
0,20000,27246,3,8,50,4
2,1000,26868,5,3,10,4
1,10000,23696,5,3,10,4
0,20000,22905,5,3,10,4
2,1000,31767,5,3,20,4
1,10000,27815,5,3,20,4
0,20000,24260,5,3,20,4
2,1000,29842,5,3,50,4
1,10000,28644,5,3,50,4
0,20000,27573,5,3,50,4
2,1000,28132,5,5,10,4
1,10000,25827,5,5,10,4
0,20000,25746,5,5,10,4
2,1000,27161,5,5,20,4
1,10000,24131,5,5,20,4
0,20000,23046,5,5,20,4
2,1000,29576,5,5,50,4
1,10000,27685,5,5,50,4
0,20000,25689,5,5,50,4
2,1000,39208,5,8,10,4
1,10000,25929,5,8,10,4
0,20000,23587,5,8,10,4
2,1000,36319,5,8,20,4
1,10000,25439,5,8,20,4
0,20000,23486,5,8,20,4
2,1000,30065,5,8,50,4
1,10000,25802,5,8,50,4
0,20000,24538,5,8,50,4
2,1000,28710,2,3,10,5
1,10000,24746,2,3,10,5
0,20000,23111,2,3,10,5
2,1000,32353,2,3,20,5
1,10000,28319,2,3,20,5
0,20000,25903,2,3,20,5
2,1000,34290,2,3,50,5
1,10000,32709,2,3,50,5
0,20000,30030,2,3,50,5
2,1000,27979,2,5,10,5
1,10000,24625,2,5,10,5
0,20000,23505,2,5,10,5
2,1000,31131,2,5,20,5
1,10000,26590,2,5,20,5
0,20000,25678,2,5,20,5
2,1000,27145,2,5,50,5
1,10000,24923,2,5,50,5
0,20000,24455,2,5,50,5
2,1000,28826,2,8,10,5
1,10000,23280,2,8,10,5
0,20000,22900,2,8,10,5
2,1000,26117,2,8,20,5
1,10000,23513,2,8,20,5
0,20000,22827,2,8,20,5
2,1000,28762,2,8,50,5
1,10000,26945,2,8,50,5
0,20000,24455,2,8,50,5
2,1000,26980,3,3,10,5
1,10000,24298,3,3,10,5
0,20000,22822,3,3,10,5
2,1000,25701,3,3,20,5
1,10000,24413,3,3,20,5
0,20000,23050,3,3,20,5
2,1000,25729,3,3,50,5
1,10000,25201,3,3,50,5
0,20000,24887,3,3,50,5
2,1000,29594,3,5,10,5
1,10000,24713,3,5,10,5
0,20000,23442,3,5,10,5
2,1000,29320,3,5,20,5
1,10000,25504,3,5,20,5
0,20000,24500,3,5,20,5
2,1000,27852,3,5,50,5
1,10000,26357,3,5,50,5
0,20000,25512,3,5,50,5
2,1000,33283,3,8,10,5
1,10000,23978,3,8,10,5
0,20000,23571,3,8,10,5
2,1000,31156,3,8,20,5
1,10000,24835,3,8,20,5
0,20000,23538,3,8,20,5
2,1000,28221,3,8,50,5
1,10000,25457,3,8,50,5
0,20000,25182,3,8,50,5
2,1000,29469,5,3,10,5
1,10000,25429,5,3,10,5
0,20000,24105,5,3,10,5
2,1000,32780,5,3,20,5
1,10000,27265,5,3,20,5
0,20000,25343,5,3,20,5
2,1000,29724,5,3,50,5
1,10000,26163,5,3,50,5
0,20000,25242,5,3,50,5
2,1000,29746,5,5,10,5
1,10000,25006,5,5,10,5
0,20000,23772,5,5,10,5
2,1000,26748,5,5,20,5
1,10000,25246,5,5,20,5
0,20000,23803,5,5,20,5
2,1000,28529,5,5,50,5
1,10000,27383,5,5,50,5
0,20000,26261,5,5,50,5
2,1000,25557,5,8,10,5
1,10000,22760,5,8,10,5
0,20000,22760,5,8,10,5
2,1000,27431,5,8,20,5
1,10000,24031,5,8,20,5
0,20000,23762,5,8,20,5
2,1000,26812,5,8,50,5
1,10000,24164,5,8,50,5
0,20000,22987,5,8,50,5
2,1000,27211,2,3,10,6
1,10000,25384,2,3,10,6
0,20000,24683,2,3,10,6
2,1000,27105,2,3,20,6
1,10000,26038,2,3,20,6
0,20000,24172,2,3,20,6
2,1000,30980,2,3,50,6
1,10000,28034,2,3,50,6
0,20000,27494,2,3,50,6
2,1000,25241,2,5,10,6
1,10000,23523,2,5,10,6
0,20000,23076,2,5,10,6
2,1000,26828,2,5,20,6
1,10000,25052,2,5,20,6
0,20000,24663,2,5,20,6
2,1000,25464,2,5,50,6
1,10000,25044,2,5,50,6
0,20000,24954,2,5,50,6
2,1000,27262,2,8,10,6
1,10000,24115,2,8,10,6
0,20000,23988,2,8,10,6
2,1000,27562,2,8,20,6
1,10000,24416,2,8,20,6
0,20000,23340,2,8,20,6
2,1000,27700,2,8,50,6
1,10000,23730,2,8,50,6
0,20000,22964,2,8,50,6
2,1000,33507,3,3,10,6
1,10000,25574,3,3,10,6
0,20000,23816,3,3,10,6
2,1000,26463,3,3,20,6
1,10000,25225,3,3,20,6
0,20000,23562,3,3,20,6
2,1000,26587,3,3,50,6
1,10000,25965,3,3,50,6
0,20000,24415,3,3,50,6
2,1000,26660,3,5,10,6
1,10000,22984,3,5,10,6
0,20000,22701,3,5,10,6
2,1000,24914,3,5,20,6
1,10000,24265,3,5,20,6
0,20000,23557,3,5,20,6
2,1000,27232,3,5,50,6
1,10000,25022,3,5,50,6
0,20000,24433,3,5,50,6
2,1000,27811,3,8,10,6
1,10000,22535,3,8,10,6
0,20000,22187,3,8,10,6
2,1000,26164,3,8,20,6
1,10000,23910,3,8,20,6
0,20000,22874,3,8,20,6
2,1000,26022,3,8,50,6
1,10000,23552,3,8,50,6
0,20000,22557,3,8,50,6
2,1000,26523,5,3,10,6
1,10000,24770,5,3,10,6
0,20000,22813,5,3,10,6
2,1000,26803,5,3,20,6
1,10000,24233,5,3,20,6
0,20000,23643,5,3,20,6
2,1000,27211,5,3,50,6
1,10000,24950,5,3,50,6
0,20000,24863,5,3,50,6
2,1000,30953,5,5,10,6
1,10000,23824,5,5,10,6
0,20000,23480,5,5,10,6
2,1000,29822,5,5,20,6
1,10000,25397,5,5,20,6
0,20000,23726,5,5,20,6
2,1000,34545,5,5,50,6
1,10000,29292,5,5,50,6
0,20000,28260,5,5,50,6
2,1000,26268,5,8,10,6
1,10000,22778,5,8,10,6
0,20000,21694,5,8,10,6
2,1000,27203,5,8,20,6
1,10000,23162,5,8,20,6
0,20000,23108,5,8,20,6
2,1000,26544,5,8,50,6
1,10000,24324,5,8,50,6
0,20000,23393,5,8,50,6
2,1000,26062,2,3,10,7
1,10000,24750,2,3,10,7
0,20000,24112,2,3,10,7
2,1000,29467,2,3,20,7
1,10000,27442,2,3,20,7
0,20000,24883,2,3,20,7
2,1000,26557,2,3,50,7
1,10000,25985,2,3,50,7
0,20000,25704,2,3,50,7
2,1000,26255,2,5,10,7
1,10000,24456,2,5,10,7
0,20000,23574,2,5,10,7
2,1000,25505,2,5,20,7
1,10000,24410,2,5,20,7
0,20000,23797,2,5,20,7
2,1000,26541,2,5,50,7
1,10000,26429,2,5,50,7
0,20000,25715,2,5,50,7
2,1000,30911,2,8,10,7
1,10000,25349,2,8,10,7
0,20000,24884,2,8,10,7
2,1000,25926,2,8,20,7
1,10000,24523,2,8,20,7
0,20000,23964,2,8,20,7
2,1000,42319,2,8,50,7
1,10000,31393,2,8,50,7
0,20000,25337,2,8,50,7
2,1000,29759,3,3,10,7
1,10000,26058,3,3,10,7
0,20000,24477,3,3,10,7
2,1000,28833,3,3,20,7
1,10000,25982,3,3,20,7
0,20000,24615,3,3,20,7
2,1000,31705,3,3,50,7
1,10000,29466,3,3,50,7
0,20000,27045,3,3,50,7
