iteration,best_solution,average_solution
417,25778,26059.62
418,25778,26059.62
419,25778,26059.62
420,25778,26059.62
421,25778,26059.62
422,25778,26059.62
423,25778,26059.62
424,25778,26059.62
425,25778,26059.62
426,25778,26059.62
427,25778,26118.64
428,25778,26118.64
429,25778,26118.64
430,25778,26118.64
431,25778,26118.64
432,25778,26095.72
433,25778,26008.86
434,25778,26008.86
435,25778,26008.86
436,25778,26031.5
437,25778,26088.34
438,25778,26088.34
439,25778,26088.34
440,25778,26088.34
441,25778,26088.34
442,25778,26088.34
443,25778,26088.34
444,25778,26088.34
445,25778,26088.34
446,25778,26088.34
447,25778,26088.34
448,25778,26088.34
449,25778,26088.34
450,25778,26065.7
451,25778,26065.7
452,25778,26065.7
453,25778,26191.9
454,25778,26191.9
455,25778,26191.9
456,25778,26135.06
457,25778,26135.06
458,25778,26135.06
459,25778,26135.06
460,25778,26135.06
461,25778,26154.28
462,25778,26154.28
463,25778,26154.28
464,25778,26154.28
465,25778,26140.98
466,25778,26140.98
467,25778,26140.98
468,25778,26140.98
469,25778,26140.98
470,25778,26140.98
471,25778,26015.6
472,25778,26052.26
473,25778,26052.26
474,25778,26052.26
475,25778,26052.26
476,25778,26052.26
477,25778,26052.26
478,25778,26052.26
479,25778,26052.26
480,25778,26052.26
481,25778,26052.26
482,25778,26052.26
483,25778,26052.26
484,25778,26052.26
485,25778,25926.06
486,25778,25892.9
487,25778,25892.9
488,25778,25892.9
489,25778,25892.9
490,25778,25892.9
491,25778,25892.9
492,25778,25873.68
493,25778,25873.68
494,25778,25814.66
495,25778,25846.62
496,25778,25846.62
497,25778,25846.62
498,25778,25846.62
499,25778,25846.62
500,25778,25846.62
501,25778,25809.96
502,25778,25809.96
503,25778,25809.96
504,25778,25809.96
505,25778,25809.96
506,25778,25809.96
507,25778,25809.96
508,25778,25809.96
509,25778,25809.96
510,25778,25809.96
511,25778,25809.96
512,25778,25809.96
513,25778,25882.98
514,25778,25882.98
515,25778,25882.98
516,25778,25882.98
517,25778,25882.98
518,25778,25882.98
519,25778,25882.98
520,25778,25882.98
521,25778,25882.98
522,25778,25882.98
523,25778,25975.16
524,25778,25975.16
525,25778,25975.16
526,25778,25975.16
527,25778,26045.14
528,25778,26045.14
529,25778,26045.14
530,25778,26045.14
531,25778,26045.14
532,25778,26045.14
533,25778,26045.14
534,25778,26045.14
535,25778,26045.14
536,25778,26045.14
537,25778,26045.14
538,25778,26045.14
539,25778,26045.14
540,25778,26045.14
541,25778,26045.14
542,25778,26045.14
543,25778,26045.14
544,25778,26045.14
545,25778,26045.14
546,25778,26045.14
547,25778,26045.14
548,25778,26045.14
549,25778,26045.14
550,25778,26045.14
551,25778,26045.14
552,25778,26045.14
553,25778,26045.14
554,25778,26045.14
555,25778,26045.14
556,25778,26013.18
557,25778,26045.14
558,25778,26045.14
559,25778,26045.14
560,25778,26045.14
561,25778,26045.14
562,25778,26191.62
563,25778,26191.62
564,25778,26191.62
565,25778,26191.62
566,25778,26191.62
567,25778,26099.44
568,25778,26099.44
569,25778,26099.44
570,25778,26170.68
571,25778,26170.68
572,25778,26170.68
573,25778,26170.68
574,25778,26226.18
575,25778,26226.18
576,25778,26226.18
577,25778,26226.18
578,25778,26226.18
579,25778,26285.38
580,25778,26331.22
581,25778,26331.22
582,25778,26331.22
583,25778,26331.22
584,25778,26433.4
585,25778,26433.4
586,25778,26433.4
587,25778,26433.4
588,25778,26433.4
589,25778,26433.4
590,25778,26433.4
591,25778,26433.4
592,25778,26433.4
593,25778,26401.44
594,25778,26355.6
595,25778,26355.6
596,25778,26431.52
597,25778,26431.52
598,25778,26431.52
599,25778,26431.52
600,25778,26431.52
601,25778,26431.52
602,25778,26431.52
603,25778,26431.52
604,25778,26431.52
605,25778,26431.52
606,25778,26431.52
607,25778,26517.82
608,25778,26517.82
609,25778,26517.82
610,25778,26517.82
611,25778,26446.58
612,25778,26446.58
613,25778,26446.58
614,25778,26446.58
615,25778,26446.58
616,25778,26344.4
617,25778,26344.4
618,25778,26344.4
619,25778,26344.4
620,25778,26344.4
621,25778,26344.4
622,25778,26372.54
623,25778,26372.54
624,25778,26372.54
625,25778,26372.54
626,25778,26372.54
627,25778,26372.54
628,25778,26372.54
629,25778,26372.54
630,25778,26372.54
631,25778,26372.54
632,25778,26372.54
633,25778,26429.94
634,25778,26429.94
635,25778,26416.98
636,25778,26341.06
637,25778,26341.06
638,25778,26386.9
639,25778,26300.6
640,25778,26300.6
641,25778,26300.6
642,25778,26300.6
643,25778,26300.6
644,25778,26300.6
645,25778,26300.6
646,25778,26300.6
647,25778,26300.6
648,25778,26300.6
649,25778,26254.76
650,25778,26254.76
651,25778,26254.76
652,25778,26276.32
653,25778,26276.32
654,25778,26276.32
655,25778,26261.14
656,25778,26261.14
657,25778,26357.32
658,25778,26470.74
659,25778,26470.74
660,25778,26470.74
661,25778,26470.74
662,25778,26470.74
663,25778,26449.18
664,25778,26320.0
665,25778,26320.0
666,25778,26320.0
667,25778,26320.0
668,25778,26320.0
669,25778,26320.0
670,25778,26320.0
671,25778,26264.5
672,25778,26264.5
673,25778,26264.5
674,25778,26264.5
675,25778,26264.5
676,25778,26264.5
677,25778,26264.5
678,25778,26264.5
679,25778,26264.5
680,25778,26264.5
681,25778,26264.5
682,25778,26264.5
683,25778,26264.5
684,25778,26264.5
685,25778,26264.5
686,25778,26264.5
687,25778,26264.5
688,25778,26264.5
689,25778,26264.5
690,25778,26264.5
691,25778,26264.5
692,25778,26207.1
693,25778,26207.1
694,25778,26093.68
695,25778,26122.32
696,25778,26187.76
697,25778,26187.76
698,25778,26187.76
699,25778,26187.76
700,25778,26041.28
701,25778,26041.28
702,25778,26041.28
703,25778,26041.28
704,25778,26041.28
705,25778,26041.28
706,25778,26041.28
707,25778,26041.28
708,25778,26041.28
709,25778,26041.28
710,25778,26041.28
711,25778,26041.28
712,25778,26048.96
713,25778,26048.96
714,25778,26079.86
715,25778,26079.86
716,25778,26079.86
717,25778,26079.86
718,25778,26129.56
719,25778,26195.8
720,25778,26195.8
721,25778,26195.8
722,25778,26195.8
723,25778,26130.36
724,25778,26130.36
725,25778,26130.36
726,25778,26057.34
727,25778,26057.34
728,25778,26186.5
729,25778,26136.8
730,25778,26136.8
731,25778,26136.8
732,25778,26136.8
733,25778,26136.8
734,25778,26136.8
735,25778,26136.8
736,25778,26136.8
737,25778,26129.12
738,25778,26129.12
739,25778,26129.12
740,25778,26129.12
741,25778,25999.96
742,25778,25999.96
743,25778,25999.96
744,25778,25999.96
745,25778,25999.96
746,25778,25999.96
747,25778,25999.96
748,25778,25999.96
749,25778,25999.96
750,25778,26063.06
751,25778,26063.06
752,25778,26063.06
753,25778,26063.06
754,25778,26063.06
755,25778,26063.06
756,25778,26063.06
757,25778,26161.82
758,25778,26161.82
759,25778,26161.82
760,25778,26161.82
761,25778,26132.8
762,25778,26132.8
763,25778,26132.8
764,25778,26132.8
765,25778,26132.8
766,25778,26132.8
767,25778,26132.8
768,25778,26132.8
769,25778,26132.8
770,25778,26132.8
771,25778,26132.8
772,25778,26132.8
773,25778,26132.8
774,25778,26132.8
775,25778,26132.8
776,25778,26132.8
777,25778,26132.8
778,25778,26069.7
779,25778,25973.52
780,25778,26049.18
781,25778,26049.18
782,25778,26049.18
783,25778,26154.34
784,25778,26154.34
785,25778,26154.34
786,25778,26154.34
787,25778,26154.34
788,25778,26154.34
789,25778,26261.86
790,25778,26261.86
791,25778,26224.64
792,25778,26196.0
793,25778,26196.0
794,25778,26196.0
795,25778,26196.0
796,25778,26196.0
797,25778,26275.66
798,25778,26275.66
799,25778,26275.66
800,25778,26332.68
801,25778,26253.02
802,25778,26253.02
803,25778,26281.16
804,25778,26281.16
805,25778,26182.4
806,25778,26182.4
807,25778,26182.4
808,25778,26182.4
809,25778,26182.4
810,25778,26182.4
811,25778,26182.4
812,25778,26182.4
813,25778,26182.4
814,25778,26182.4
815,25778,26182.4
816,25778,26182.4
817,25778,26074.88
818,25778,26074.88
819,25778,26074.88
820,25778,26043.98
821,25778,26043.98
822,25778,26043.98
823,25778,26051.14
824,25778,26051.14
825,25778,26051.14
826,25778,26051.14
827,25778,26051.14
828,25778,26051.14
829,25778,26051.14
830,25778,25975.48
831,25778,25975.48
832,25778,26008.38
833,25778,26008.38
834,25778,26008.38
835,25778,25980.24
836,25778,25980.24
837,25778,25980.24
838,25778,25980.24
839,25778,26013.72
840,25778,26013.72
841,25778,26046.22
842,25778,26046.22
843,25778,26137.46
844,25778,26137.46
845,25778,26137.46
846,25778,26137.46
847,25778,26137.46
848,25778,26137.46
849,25778,26137.46
850,25778,26137.46
851,25778,26137.46
852,25778,26137.46
853,25778,26137.46
854,25778,26032.3
855,25778,26032.3
856,25778,26032.3
857,25778,26032.3
858,25778,26032.3
859,25778,26032.3
860,25778,26032.3
861,25778,26032.3
862,25778,26123.66
863,25778,26090.76
864,25778,26090.76
865,25778,26090.76
866,25778,26090.76
867,25778,26142.88
868,25778,26142.88
869,25778,26142.88
870,25778,26142.88
871,25778,26142.88
872,25778,26142.88
873,25778,26177.02
874,25778,26177.02
875,25778,26177.02
876,25778,26085.78
877,25778,26085.78
878,25778,26085.78
