,Generation,Best Solution,CrossOver,Mutation,Iteration
2,1000,3285,OX,IVM,14
1,10000,3285,OX,IVM,14
0,20000,3264,OX,IVM,14
2,1000,3285,OX,SM,14
1,10000,3285,OX,SM,14
0,20000,3271,OX,SM,14
2,1000,3295,OX,RM,14
1,10000,3287,OX,RM,14
0,20000,3265,OX,RM,14
2,1000,3168,SCX,ISM,14
1,10000,3168,SCX,ISM,14
0,20000,3168,SCX,ISM,14
2,1000,3168,SCX,IVM,14
1,10000,3168,SCX,IVM,14
0,20000,3168,SCX,IVM,14
2,1000,3168,SCX,SM,14
1,10000,3168,SCX,SM,14
0,20000,3168,SCX,SM,14
2,1000,3139,SCX,RM,14
1,10000,3139,SCX,RM,14
0,20000,3139,SCX,RM,14
2,1000,3977,OX,ISM,15
1,10000,4015,OX,ISM,15
0,20000,3996,OX,ISM,15
2,1000,3351,OX,IVM,15
1,10000,3295,OX,IVM,15
0,20000,3291,OX,IVM,15
2,1000,3306,OX,SM,15
1,10000,3299,OX,SM,15
0,20000,3299,OX,SM,15
2,1000,3601,OX,RM,15
1,10000,3557,OX,RM,15
0,20000,3548,OX,RM,15
2,1000,3209,SCX,ISM,15
1,10000,3209,SCX,ISM,15
0,20000,3209,SCX,ISM,15
2,1000,3209,SCX,IVM,15
1,10000,3198,SCX,IVM,15
0,20000,3114,SCX,IVM,15
2,1000,3209,SCX,SM,15
1,10000,3209,SCX,SM,15
0,20000,3209,SCX,SM,15
2,1000,3122,SCX,RM,15
1,10000,3122,SCX,RM,15
0,20000,3122,SCX,RM,15
2,1000,4834,OX,ISM,16
1,10000,4778,OX,ISM,16
0,20000,4590,OX,ISM,16
2,1000,4433,OX,IVM,16
1,10000,4342,OX,IVM,16
0,20000,4318,OX,IVM,16
2,1000,4682,OX,SM,16
1,10000,4676,OX,SM,16
0,20000,4676,OX,SM,16
2,1000,3169,OX,RM,16
1,10000,3169,OX,RM,16
0,20000,3154,OX,RM,16
2,1000,3162,SCX,ISM,16
1,10000,3162,SCX,ISM,16
0,20000,3156,SCX,ISM,16
2,1000,3209,SCX,IVM,16
1,10000,3209,SCX,IVM,16
0,20000,3209,SCX,IVM,16
2,1000,3252,SCX,SM,16
1,10000,3252,SCX,SM,16
0,20000,3252,SCX,SM,16
2,1000,3236,SCX,RM,16
1,10000,3236,SCX,RM,16
0,20000,3236,SCX,RM,16
2,1000,7421,OX,ISM,17
1,10000,6581,OX,ISM,17
0,20000,6214,OX,ISM,17
2,1000,7723,OX,IVM,17
1,10000,7318,OX,IVM,17
0,20000,6736,OX,IVM,17
2,1000,8378,OX,SM,17
1,10000,7845,OX,SM,17
0,20000,7551,OX,SM,17
2,1000,3344,OX,RM,17
1,10000,3340,OX,RM,17
0,20000,3336,OX,RM,17
2,1000,3110,SCX,ISM,17
1,10000,3110,SCX,ISM,17
0,20000,3110,SCX,ISM,17
2,1000,3015,SCX,IVM,17
1,10000,3015,SCX,IVM,17
0,20000,3015,SCX,IVM,17
2,1000,3065,SCX,SM,17
1,10000,3065,SCX,SM,17
0,20000,3065,SCX,SM,17
2,1000,3198,SCX,RM,17
1,10000,3198,SCX,RM,17
0,20000,3198,SCX,RM,17
2,1000,3493,OX,ISM,18
1,10000,3494,OX,ISM,18
0,20000,3479,OX,ISM,18
2,1000,3117,OX,IVM,18
1,10000,3113,OX,IVM,18
0,20000,3113,OX,IVM,18
2,1000,3194,OX,SM,18
1,10000,3194,OX,SM,18
0,20000,3194,OX,SM,18
2,1000,3196,OX,RM,18
1,10000,3070,OX,RM,18
0,20000,3070,OX,RM,18
2,1000,3021,SCX,ISM,18
1,10000,3021,SCX,ISM,18
0,20000,3021,SCX,ISM,18
2,1000,3103,SCX,IVM,18
